COMPANY_TYPE;EMPLOYEES;ID;INDUSTRY;TITLE
CUSTOMER;EMPLOYEES_2;13;IT;"ООО ""Интерсвязь-10"""
CUSTOMER;;15;IT;ИП Экшиян Наталья Валерьевна
CUSTOMER;EMPLOYEES_1;17;3;ИП Рублев Игорь Владимирович
CUSTOMER;;21;ENTERTAINMENT;ООО ТФ «Тургид»
CUSTOMER;;23;3;ООО «КонУс»
CUSTOMER;EMPLOYEES_1;25;IT;ООО «Артикул Медиа»
CUSTOMER;;27;OTHER;Индивидуальный предприниматель Пискунова  Елена Викторовна
CUSTOMER;EMPLOYEES_1;29;IT;"ООО ""Берлогос"""
CUSTOMER;EMPLOYEES_1;11;IT;ООО «Технологии красоты»
CUSTOMER;EMPLOYEES_1;31;OTHER;"ООО ""Адамант"" (окна)"
CUSTOMER;EMPLOYEES_1;33;OTHER;"ООО ""Улыбка Востока"""
CUSTOMER;EMPLOYEES_1;35;OTHER;ООО «ЭМИР-НН»
CUSTOMER;;37;IT;ООО «Панорама»
CUSTOMER;EMPLOYEES_1;39;IT;Закрытое акционерное общество «ГП Рифарм»
CUSTOMER;EMPLOYEES_1;43;IT;ООО «КСБ Групп»
CUSTOMER;;45;IT;ООО «КОММЕРЦ-КОЛЛЕГИЯ» 
CUSTOMER;;47;IT;ООО КК «АртИстейт»
CUSTOMER;;49;IT;ООО «Южуралснаб»
CUSTOMER;;51;OTHER;"ООО ""ТД ГидроЭлектроСбыт"""
CUSTOMER;;53;OTHER;ООО «Уральский ювелирный оптовый центр»
CUSTOMER;EMPLOYEES_1;55;IT;ООО «ИСБ»
CUSTOMER;;57;IT;ООО «РОСКО Технология»
3;EMPLOYEES_1;59;IT;ООО «1С-Битрикс»
CUSTOMER;EMPLOYEES_1;63;OTHER;ИП Ковалев Александр Анатольевич
CUSTOMER;EMPLOYEES_1;67;OTHER;ООО «Техщит»
CUSTOMER;EMPLOYEES_1;71;3;ИП Ситдиков Р.З.
PARTNER;EMPLOYEES_1;75;IT;ООО «Диагональ плюс»
PARTNER;EMPLOYEES_1;87;IT;ИП Земляной Андрей Анатольевич
CUSTOMER;EMPLOYEES_1;119;3;ИП Морозова Людмила Николаевна skikross.ru
CUSTOMER;EMPLOYEES_1;121;OTHER;ООО «Аланта-сервис»
CUSTOMER;EMPLOYEES_1;139;IT;ООО “Астория”
CUSTOMER;EMPLOYEES_1;161;IT;ООО Компания «Сервис ТВ-Инфо» АВАНГАРД
CUSTOMER;EMPLOYEES_1;169;3;ООО «ЭМИР–НН»
CUSTOMER;EMPLOYEES_1;171;3;ООО «Робот Рус»
CUSTOMER;EMPLOYEES_1;175;OTHER;ООО PayKeeper
CUSTOMER;EMPLOYEES_1;159;3;ООО «ДАРСТРОЙ»
CUSTOMER;EMPLOYEES_1;81;IT;ООО «КиТ»
CUSTOMER;EMPLOYEES_1;127;OTHER;ООО «Канон»
CUSTOMER;;179;IT;ООО СК «Эволюция»
CUSTOMER;EMPLOYEES_1;181;5;ИП Горшенин Артем Андреевич
CUSTOMER;EMPLOYEES_1;61;1;"Инженерный центр ""Современные трубопроводные системы"" (ИЦ СТС)"
CUSTOMER;EMPLOYEES_1;185;5;ИП Борисова Елена Викторовна
CUSTOMER;EMPLOYEES_2;155;3;ООО «РариТЭК»
CUSTOMER;;189;OTHER;Автономная некоммерческая образовательная  организация дополнительного профессионального образования  «Учебно-Методический Центр на железнодорожном транспорте»
CUSTOMER;EMPLOYEES_1;191;3;ООО «Астраханский рыбный промысел»
CUSTOMER;EMPLOYEES_1;193;5;ООО «ФИОРИ»
CUSTOMER;EMPLOYEES_1;195;3;"ООО ""ОРИОН РТИ"""
PARTNER;;197;IT;ООО «Артикул Продакшн»
CUSTOMER;EMPLOYEES_1;767;3;ООО «ФОРТЕ ЛТД»
CUSTOMER;EMPLOYEES_1;773;DELIVERY;ООО «Ресторан холдинг»
CUSTOMER;EMPLOYEES_1;775;3;ИП Коцюба Дмитрий Сергеевич
CUSTOMER;EMPLOYEES_1;77;IT;ООО «Инфотек»
CUSTOMER;EMPLOYEES_1;787;3;ООО «Концептика»
CUSTOMER;EMPLOYEES_1;783;5;ИП Мироновский Сергей Николаевич
CUSTOMER;EMPLOYEES_1;785;3;ООО «Аквабойлер»
CUSTOMER;EMPLOYEES_1;779;3;ООО «Ортомедтехника»
CUSTOMER;;789;3;Максимов Виталий Александрович
CUSTOMER;EMPLOYEES_1;793;3;ООО «Вертикаль»
CUSTOMER;;795;3;ООО «Уралсервис»
CUSTOMER;EMPLOYEES_1;797;3;ИП Сергеев Алексей Николаевич
CUSTOMER;EMPLOYEES_1;799;3;ООО «Саптум»
3;EMPLOYEES_1;801;3;ИП Двуреченский Юрий Викторович
CUSTOMER;EMPLOYEES_1;805;3;ООО «Фиби»
CUSTOMER;;809;3;Закрытое Акционерное Общество «Гостиничный комплекс «Металлург»
CUSTOMER;EMPLOYEES_1;813;3;ООО «Интернет Технологии»
CUSTOMER;EMPLOYEES_1;815;3;ИП Ермолаева Лейла Оралбековна
CUSTOMER;EMPLOYEES_1;817;3;ИП Шмелев Дмитрий Александрович
CUSTOMER;EMPLOYEES_1;819;3;ООО «ИНПРО»
CUSTOMER;EMPLOYEES_1;821;3;ООО «Интерком-Л»
CUSTOMER;EMPLOYEES_1;823;3;ООО «Экспо-Линк»
CUSTOMER;;825;3;"ООО ""Яна Флауэрс"""
CUSTOMER;EMPLOYEES_1;803;3;ООО «УГМК-Телеком»
CUSTOMER;EMPLOYEES_1;829;3;ООО «Нисеко»
CUSTOMER;EMPLOYEES_1;831;MANUFACTURING;ООО «Фабрика шнуров»
CUSTOMER;;5485;3;ОГБУК Челябинский Государственный драматический «Камерный театр»
CUSTOMER;;5487;3;ОАО «Банк24.ру»
CUSTOMER;EMPLOYEES_1;5489;3;ООО «Пожкомплект»
CUSTOMER;;5491;3;OOO «Надёжные системы»
CUSTOMER;EMPLOYEES_1;27647;3;ИП Нехаенко Олег Александрович
CUSTOMER;;29623;3;ООО «Академия Почемучки»
CUSTOMER;EMPLOYEES_1;29627;3;ИП Якубова Наталья Анатольевна
CUSTOMER;EMPLOYEES_1;29629;3;ООО «Техносталь»
CUSTOMER;EMPLOYEES_1;29635;3;ООО «Интернет решения»
CUSTOMER;;29631;3;ООО «Эмтелем»
CUSTOMER;EMPLOYEES_1;29637;3;ООО НПП «Учтех-Профи»
CUSTOMER;;29639;3;"ООО ""Компания ""Трилог"""
CUSTOMER;;29641;3;ООО «ВЕБО»
CUSTOMER;EMPLOYEES_1;29645;3;"ООО ""Мосцветторг"""
CUSTOMER;EMPLOYEES_1;29647;3;"ООО ""РУНО ПЛЮС"""
CUSTOMER;EMPLOYEES_1;29649;3;ООО «Кофе Венд»
1;;29653;3;"ООО ""Мир Керамогранита"""
CUSTOMER;EMPLOYEES_1;29659;3;ООО «Комплето»
CUSTOMER;EMPLOYEES_1;29661;3;ООО «Фабрика кофе»
CUSTOMER;EMPLOYEES_1;29667;3;ИП Митурич Александр Викторович
2;EMPLOYEES_1;29669;3;"ООО ""Умница-Пресс"""
OTHER;EMPLOYEES_1;29673;IT;"ООО ""Центр Автоматизации Учета"" (Первый БИТ)"
2;EMPLOYEES_1;29675;3;"ООО ""Энергия времени"""
2;EMPLOYEES_1;29677;3;ИП Максимова Ольга Александровна
CUSTOMER;EMPLOYEES_1;29679;3;"ООО ""Цветочный Дом в Сокольниках"""
2;EMPLOYEES_1;771;3;ООО ТК «Инструмент-Импорт»
CUSTOMER;;29691;3;"ООО ""Фито-трэйд"""
CUSTOMER;;29693;OTHER;"ООО ""Радар Эдвертайзинг"""
2;EMPLOYEES_1;29671;3;"ООО ""Игромаркет"""
CUSTOMER;EMPLOYEES_1;29695;3;ЗАО «Интерсвязь-2»
1;EMPLOYEES_1;167;3;ООО «Дайвер»
CUSTOMER;EMPLOYEES_1;29697;3;"ООО ""Высокие технологии"""
CUSTOMER;EMPLOYEES_1;29784;3;"ООО ""Феникс"" (Майоров)"
1;EMPLOYEES_1;29705;OTHER;ИП Кудрявцев Ю.И. 
CUSTOMER;EMPLOYEES_1;29707;3;ВЦ СофтСервис
CUSTOMER;EMPLOYEES_1;29733;3;ИП Вишнякова Марина Анатольевна
CUSTOMER;EMPLOYEES_1;3;IT;Коммаш
CUSTOMER;EMPLOYEES_1;29735;3;ГБОУ СПО (ССУЗ) «Челябинский дорожно-строительный техникум»
CUSTOMER;;29739;3;"ООО ""СИЛЭНТУМ"""
CUSTOMER;EMPLOYEES_1;29715;3;"ООО СК ""Инженерный центр Балвер"""
1;;29751;3;"ООО ""РОСТИ"""
CUSTOMER;EMPLOYEES_1;777;DELIVERY;ООО «Информационные коммуникации»
CUSTOMER;EMPLOYEES_1;29757;3;"ООО ТФ ""СТТ"""
CUSTOMER;EMPLOYEES_1;29763;OTHER;ООО «ФД-телеком»
CUSTOMER;EMPLOYEES_1;29765;3;"ООО ""Красная долина"""
1;EMPLOYEES_1;29767;3;"ООО ""Азимут"""
CUSTOMER;;29769;3;"Центр инвестиций ""ПРОГРЕСС"""
CUSTOMER;EMPLOYEES_1;29771;3;ИП Проскурин Сергей Валерьевич
CUSTOMER;EMPLOYEES_1;29775;3;"ООО ""СТ-Комплекс"""
CUSTOMER;EMPLOYEES_1;29779;3;ИП Попова О.А.
CUSTOMER;EMPLOYEES_1;29749;3;"Агима (ООО ""ТоргВест"", """"Печатный Двор"")"
CUSTOMER;EMPLOYEES_1;29788;3;ИП Рыбинская Наталия Владимировна
CUSTOMER;EMPLOYEES_1;29790;3;ИП Каширин Илья Юрьевич
CUSTOMER;;29792;3;ООО «Гостиничный комплекс «БОВИД»
CUSTOMER;EMPLOYEES_1;29759;3;"ООО ""Челябинский энергомашиностроительный завод"""
CUSTOMER;EMPLOYEES_2;5;GOVERNMENT;Управление делами Губернатора и Правительства Челябинской области
CUSTOMER;EMPLOYEES_1;29808;3;"ООО ""Форсаж"""
CUSTOMER;EMPLOYEES_1;29816;3;ООО «Нутра»
CUSTOMER;EMPLOYEES_1;29786;3;"Маркетинговое агентство ""Pro-Contra"""
CUSTOMER;EMPLOYEES_1;29747;3;ООО «АЭРОИДЕЯ»
CUSTOMER;EMPLOYEES_1;29856;3;создаватель
1;EMPLOYEES_1;29890;3;"ООО ""Логоимпульс"""
1;EMPLOYEES_1;29902;5;ИП Серебренникова Елена Николаевна
PARTNER;;29910;3;ООО «ЧЕЛЯБАГРОСНАБ»
CUSTOMER;EMPLOYEES_1;29912;3;"ООО ""Cистемы безопасности и комфорта"""
CUSTOMER;;29848;3;"ООО ""Нейтрино"""
CUSTOMER;EMPLOYEES_1;29948;3;"АО ""РИКТ"""
CUSTOMER;EMPLOYEES_1;29916;3;Ковка Екатеринбург
CUSTOMER;EMPLOYEES_1;29966;3;ООО ПКФ «Кварц»   (Зерона)
1;EMPLOYEES_1;29970;OTHER;ИП Гаврилин Денис Георгиевич
CUSTOMER;;31026;3;ИП Еремин Сергей Геннадьевич
1;EMPLOYEES_1;31028;3;ООО «Интерьерные решения»
CUSTOMER;;31030;3;"ООО ""Мировые вина"""
CUSTOMER;EMPLOYEES_1;31056;3;"ООО "" АПС Технолоджи"""
CUSTOMER;;31042;3;ИП Савченков Д.Н.
CUSTOMER;;31048;3;ИП Кувыкина Людмила Борисовна 
CUSTOMER;EMPLOYEES_2;31046;IT;"ООО ""ЦИТ"""
CUSTOMER;EMPLOYEES_1;31062;3;"ООО АН ""Доминанта"""
CUSTOMER;EMPLOYEES_1;31066;3;"ООО ""Цифровая собственность"""
CUSTOMER;;31070;3;"ООО ""Такси 099"""
CUSTOMER;EMPLOYEES_1;31076;3;"Музей занимательной науки ""Экспериментус"""
CUSTOMER;EMPLOYEES_1;31082;3;"ООО ""Цветомира"""
CUSTOMER;EMPLOYEES_1;31084;3;"ООО ""Формула бизнеса"""
CUSTOMER;EMPLOYEES_1;31086;3;ООО ФИОРИ
CUSTOMER;EMPLOYEES_1;31106;3;"ООО ""Касаргинский источник"""
CUSTOMER;EMPLOYEES_1;31108;3;Цветочка из Челябинска
CUSTOMER;EMPLOYEES_1;31112;3;ИП Залесская Юлия Игоревна
CUSTOMER;EMPLOYEES_1;31114;3;ООО «Олевер»
CUSTOMER;EMPLOYEES_1;31116;3;Фонд содействия кредитованию малого предпринимательства Челябинской области
CUSTOMER;EMPLOYEES_1;31122;3;"ООО ""НПК""ПРОЕКТНЫЙ ИНЖИНИРИНГ"""
CUSTOMER;EMPLOYEES_1;31120;3;"ООО ""Дирекция Единого Заказчика 1"""
1;EMPLOYEES_1;29952;3;ООО «ТПО «Оптика Перспектива»
CUSTOMER;EMPLOYEES_1;31142;3;"ООО ""Мечты сбываются"""
CUSTOMER;EMPLOYEES_1;31152;3;ИП Кулешова Анна Ивановна
CUSTOMER;EMPLOYEES_1;31150;3;"ООО ""СТК ЛАЙТВЕЛЛ"""
CUSTOMER;EMPLOYEES_1;31153;3;"ООО ""Технологии безопасности"""
CUSTOMER;EMPLOYEES_1;31154;3;"Благотворительный фонд ""ВОЛЬФОВИЧ"""
CUSTOMER;EMPLOYEES_1;31156;3;ООО Аудиторская фирма «Аудит-Консалтинг Центр»
CUSTOMER;EMPLOYEES_1;31174;3;"ООО ""ПИКСАЙТ"""
CUSTOMER;EMPLOYEES_1;31162;3;"ООО ""ИН-МАРКЕТИНГ"""
CUSTOMER;EMPLOYEES_1;31164;3;"ООО ""ФУД-МЕНЕДЖМЕНТ"""
CUSTOMER;EMPLOYEES_1;31166;3;ООО «АЛЛПРОМГРУПП»
CUSTOMER;EMPLOYEES_1;31168;3;"ООО ""ИГРЫ ПАТРИОТОВ"""
CUSTOMER;EMPLOYEES_1;31170;3;ИП Бокарев Юрий Евгеньевич
PARTNER;EMPLOYEES_1;29920;3;Интернет-кузница « Дефактори»
CUSTOMER;EMPLOYEES_1;29727;3;"ООО ""Строй Мир"""
CUSTOMER;EMPLOYEES_1;31172;3;"ЗАО ""Стройтехнология"""
CUSTOMER;EMPLOYEES_1;29665;3;ИП Янкина Ирина Михайловна
3;EMPLOYEES_1;31178;IT;"ООО ""АРТВ"""
CUSTOMER;EMPLOYEES_1;31182;3;ИП Лимонова Наталья Васильевна
PARTNER;EMPLOYEES_1;31184;3;ООО «МЯСНАЯ ДУША УПРАВЛЕНИЕ»
CUSTOMER;EMPLOYEES_1;31188;6;"ООО ""ФК Колизей"""
CUSTOMER;EMPLOYEES_1;31194;3;"ООО ""ИНДИВИД-ПАРТНЕР"""
CUSTOMER;EMPLOYEES_1;31190;IT;Группа АМС
CUSTOMER;EMPLOYEES_1;31202;3;"""Скоромама - федеральная сеть одежды для беременных"""
CUSTOMER;EMPLOYEES_1;31212;IT;"ООО ""Кокос групп"""
CUSTOMER;EMPLOYEES_1;31210;3;"ООО ""Окна Форбис"""
CUSTOMER;EMPLOYEES_1;31208;3;"ООО ""Окна РЕХАУ"""
CUSTOMER;EMPLOYEES_1;31206;3;"ООО ""Московские окна"""
CUSTOMER;EMPLOYEES_1;31220;3;"ООО ""Мега"""
CUSTOMER;EMPLOYEES_1;31222;OTHER;НП СРО  «УралЖилКомСтрой»
CUSTOMER;EMPLOYEES_1;31232;3;"ООО ""КУБ"""
CUSTOMER;EMPLOYEES_1;31228;3;"ООО ""КОНТЕНТ-ЛОГИСТИК"""
CUSTOMER;EMPLOYEES_1;31238;3;"ООО СМК ""АСТРА-МЕТАЛЛ"""
CUSTOMER;EMPLOYEES_1;31240;3;ИП Халилов Э.М.
CUSTOMER;EMPLOYEES_1;31242;3;"ФГБОУ ВО ""ЮУрГГПУ"" Пед.университет"
CUSTOMER;EMPLOYEES_1;31246;3;"ООО ""Зеннда"""
CUSTOMER;EMPLOYEES_1;31260;3;"ООО ТД ""ВИТРИНА"""
CUSTOMER;EMPLOYEES_1;31258;3;ООО «КопиСервис»
CUSTOMER;EMPLOYEES_1;44956;3;"ООО ""АЛЛ ПРОМ РУ"""
PARTNER;EMPLOYEES_1;31266;3;"ООО ""ТД АРКАДА"""
CUSTOMER;EMPLOYEES_1;31262;3;ООО «Рендер-Ферма»
CUSTOMER;EMPLOYEES_1;31272;3;"ООО ""Техсистемс"""
CUSTOMER;EMPLOYEES_1;44668;3;"ООО ""ГОСТИНЫЙ ДВОР"""
CUSTOMER;EMPLOYEES_1;31096;3;"ООО ""Сердце города"""
CUSTOMER;EMPLOYEES_1;31284;3;"ООО ""АРБАТ-ВОЛГА"""
CUSTOMER;EMPLOYEES_1;31276;3;Estate Coffee Roasters (ООО Эстейт Кофе)
CUSTOMER;EMPLOYEES_1;31296;3;"ООО ""ПРИМА ВИСТА"""
CUSTOMER;EMPLOYEES_1;43172;3;ООО «Мегаплан»
CUSTOMER;EMPLOYEES_1;43174;3;ИП Мешечкова Наталья Евгеньевна
CUSTOMER;EMPLOYEES_1;43182;3;ООО «Рок Сайкл»
CUSTOMER;EMPLOYEES_1;30298;3;ИП Миронов Игорь Владимирович
CUSTOMER;EMPLOYEES_1;31292;3;ООО «Челябинский Завод Нестандартных Машин»
CUSTOMER;EMPLOYEES_1;44672;3;"ООО ""АЛЛ ПРОМ ЭКСПО"""
CUSTOMER;EMPLOYEES_1;43208;3;"ООО ""ГИДРУСС"""
CUSTOMER;EMPLOYEES_1;44666;3;"""WB marketing"" ООО ""АннаОпт"""
1;EMPLOYEES_1;43274;3;"АО  ""ЭЛИС"""
CUSTOMER;EMPLOYEES_1;44676;3;ООО ТПК «Медико»
1;EMPLOYEES_1;44686;3;"ООО ""Висма-ойл"""
CUSTOMER;EMPLOYEES_1;44660;3;"ООО НПП ""ПРИОРИТЕТ"""
PARTNER;EMPLOYEES_1;44678;3;"ООО СК ""СИСТЕМА"""
CUSTOMER;EMPLOYEES_1;44604;3;ИП Чернышев В.В.
CUSTOMER;EMPLOYEES_1;44954;3;ИП Пономарева
1;EMPLOYEES_1;35068;3;ИП Соболева Е.В.
5;;38230;;Kiskis.me
1;EMPLOYEES_1;44682;3;ООО  «СТС Логистикс Проекты»
1;EMPLOYEES_1;44964;3;"ООО ""ТюменьТорг"""
CUSTOMER;EMPLOYEES_1;44968;3;"ООО К.Т.М. ""Пирания"""
CUSTOMER;EMPLOYEES_1;44972;3;ИП Сорокин Константин Валерьевич
CUSTOMER;EMPLOYEES_1;31248;3;QSOFT (КьюСофт)
CUSTOMER;EMPLOYEES_1;44684;3;ООО «ПСО КПД и СК» (ООО «Производственно-строительное объединение крупнопанельного домостроения и строительных конструкций» )
CUSTOMER;EMPLOYEES_1;44976;3;"ООО ""ИЛЕКС"""
1;EMPLOYEES_1;44985;3;"ООО ""Мебельная станция"""
CUSTOMER;EMPLOYEES_1;44979;3;КПК Боггат
CUSTOMER;EMPLOYEES_1;45005;3;"ООО ""Азбука Уюта"""
CUSTOMER;EMPLOYEES_1;45007;3;ИП Темников Дмитрий Александрович
1;EMPLOYEES_1;45008;3;ООО «ПРО-Сцена»
CUSTOMER;EMPLOYEES_1;45035;3;"ООО ""Простая история"""
;;45033;;"""Южный Урал"", Управление федеральных автомобильных дорог"
1;EMPLOYEES_1;45024;OTHER;ООО Институт Тренинга - АРБ - Про
CUSTOMER;EMPLOYEES_1;45042;3;АО «ТД «Фамильная коллекция»
CUSTOMER;EMPLOYEES_1;45052;3;"ООО ""ТехноСвязьКом"""
1;EMPLOYEES_1;45060;3;ИП Пискунов А.А.
CUSTOMER;;43848;3;ИП Билан К.Ю.
CUSTOMER;EMPLOYEES_1;45062;3;ООО «Фирма Каскад»
CUSTOMER;;45068;3;Центр Аттестации и экспертизы (ИП Темичев)
CUSTOMER;EMPLOYEES_1;45044;3;АО «Коллекционеръ»
5;;35080;3;Park Avenue (ИП Чепарева МВ)
CUSTOMER;EMPLOYEES_1;45084;3;ООО “Князь Пюрешкин”
CUSTOMER;EMPLOYEES_1;45098;3;Автозакуп
5;;32230;3;Уралспецмаш ооо
;;45112;;Создаватель (тестовый заказ #5)
5;;34122;;СТУДИЯ КАМНЯ ЧЕЛЯБИНСК, ООО
CUSTOMER;EMPLOYEES_1;45100;3;УралСпецМаш (Миасс)
CUSTOMER;EMPLOYEES_1;45156;3;ООО Ева
CUSTOMER;EMPLOYEES_1;45172;3;ИП Кочкин В.В.
CUSTOMER;EMPLOYEES_1;45180;3;ЧелябЭкоПродукт
CUSTOMER;EMPLOYEES_1;45136;3;ООО НПЦ «РИЦ»
CUSTOMER;EMPLOYEES_1;45191;3;ГБУЗ «ССМП г. Коркино»
5;;33262;;PIXITE
CUSTOMER;EMPLOYEES_1;45278;3;ИП Пак Виталий Владимирович
CUSTOMER;EMPLOYEES_1;45282;3;ИП Ершков А.А.
;;45267;;Экозима 
CUSTOMER;EMPLOYEES_1;45293;3;ИП Козлитин Геннадий Петрович
CUSTOMER;EMPLOYEES_1;45302;3;"Центр Технического Обслуживания ""СОФТ КАСС"""
CUSTOMER;EMPLOYEES_1;45304;3;Индивидуальный предприниматель Марченков Андрей Сергеевич
CUSTOMER;;45058;3;ПК Прайд
CUSTOMER;;30886;3;ООО ТД УралСервисЗапчасть
CUSTOMER;;45316;3;"ООО ""Платинум"""
;;45322;;ИП Модвал Любовь Васильевна
CUSTOMER;EMPLOYEES_1;45328;3;ИП Годжаева Ч.А.
CUSTOMER;;45326;3;ООО Терма
CUSTOMER;EMPLOYEES_1;45300;3;Центр базисных поставок
5;;36678;3;"ООО ""ВикМет"""
5;;40824;3;Кедровый рай
CUSTOMER;;45960;3;Азума
CUSTOMER;EMPLOYEES_1;45342;3;ООО «МФК ТЕХЭНЕРГО»
CUSTOMER;;45974;3;Студия камня (ИП Билан Ю.К.)
5;;35574;3;Косметичка
CUSTOMER;;45972;3;ИП Колганов А.С.
;;30610;;"""Мечел"" ЧМК"
CUSTOMER;EMPLOYEES_1;45986;3;"ООО ""НайсУан"""
CUSTOMER;;45982;3;Робин Бобин
CUSTOMER;EMPLOYEES_1;45997;3; flowersamara
CUSTOMER;EMPLOYEES_1;45999;3;ИП Гаврилов В.А. (студия камня Белан, отдел розницы)
